1	Conservative Party of Canada	141694
2	Alberta	28842
3	British Columbia	19318
4	Manitoba	4947
5	New Brunswick	2130
6	Newfoundland and Labrador	625
7	Nova Scotia	2880
8	Ontario	64784
9	Prince Edward Island	627
10	Quebec	9669
11	Saskatchewan	7404
12	Yukon	319
13	Northwest Territories	133
14	Nunavut	16
15	Avalon	94
16	Bonavista–Burin–Trinity	45
17	Coast of Bays–Central–Notre Dame	69
18	Labrador	24
19	Long Range Mountains	55
20	St. John's East	208
21	St. John's South–Mount Pearl	130
22	Cardigan	163
23	Charlottetown	167
24	Egmont	116
25	Malpeque	181
26	Cape Breton–Canso	187
27	Central Nova	296
28	Cumberland–Colchester	296
29	Dartmouth–Cole Harbour	272
30	Halifax	334
31	Halifax West	311
32	Kings–Hants	239
33	Sackville–Preston–Chezzetcook	254
34	South Shore–St. Margarets	277
35	Sydney–Victoria	172
36	West Nova	242
37	Acadie–Bathurst	41
38	Beauséjour	130
39	Fredericton	363
40	Fundy Royal	309
41	Madawaska–Restigouche	69
42	Miramichi–Grand Lake	143
43	Moncton–Riverview–Dieppe	292
44	New Brunswick Southwest	243
45	Saint John–Rothesay	225
46	Tobique–Mactaquac	315
47	Abitibi–Baie-James–Nunavik–Eeyou	27
48	Abitibi–Témiscamingue	79
49	Ahuntsic-Cartierville	81
50	Alfred-Pellan	44
51	Argenteuil–La Petite-Nation	102
52	Avignon–La Mitis–Matane–Matapédia	61
53	Beauce	1099
54	Beauport–Limoilou	99
55	Bécancour–Nicolet–Saurel	110
56	Bellechasse–Les Etchemins–Lévis	435
57	Beloeil–Chambly	64
58	Berthier–Maskinongé	146
59	Thérèse-De Blainville	57
60	Pierre-Boucher–Les Patriotes–Verchères	37
61	Bourassa	37
62	Brome–Missisquoi	120
63	Brossard–Saint-Lambert	162
64	Rimouski-Neigette–Témiscouata–Les Basques	83
65	Charlesbourg–Haute-Saint-Charles	117
66	Beauport–Côte-de-Beaupré–Île d'Orléans–Charlevoix	111
67	Châteauguay–Lacolle	66
68	Chicoutimi–Le Fjord	67
69	Compton–Stanstead	138
70	Dorval–Lachine–LaSalle	115
71	Drummond	108
