areaId	areaName	round	ballots	totalPts	Chris ALEXANDER	Maxime BERNIER	Steven BLANEY	Michael CHONG	Kellie LEITCH	Pierre LEMIEUX	Deepak OBHRAI	Kevin O'LEARY	Erin O'TOOLE	Rick PETERSON	Lisa RAITT	Andrew SAXTON	Andrew SCHEER	Brad TROST	Undervotes	Remainder
15	Avalon	0	94	99.99993	0	27	0	7	23	5	0	0	17	1	2	0	6	6	0	0.00007
16	Bonavista–Burin–Trinity	0	45	99.99995	0	12	0	3	3	3	2	0	7	0	5	1	4	5	0	0.00005
17	Coast of Bays–Central–Notre Dame	0	69	99.99995	1	25	1	2	11	9	0	0	6	0	3	0	9	2	0	0.00005
18	Labrador	0	24	99.99997	0	4	0	0	2	0	0	0	2	0	1	1	14	0	0	0.00003
19	Long Range Mountains	0	55	99.99997	0	17	0	5	11	4	0	0	6	1	3	0	6	2	0	0.00003
20	St. John's East	0	208	99.99996	0	56	2	46	21	16	2	1	18	2	13	0	18	12	0	0.00004
21	St. John's South–Mount Pearl	0	130	99.99995	1	55	0	10	17	11	0	2	8	1	7	0	9	9	0	0.00005
22	Cardigan	0	163	99.99996	0	37	2	8	16	12	0	1	13	0	15	3	52	4	0	0.00004
23	Charlottetown	0	167	99.99995	2	18	0	16	12	19	2	0	26	2	11	3	39	15	0	0.00005
24	Egmont	0	116	99.99994	1	12	1	4	4	11	0	0	36	0	8	0	33	6	0	0.00006
25	Malpeque	0	181	99.99995	0	30	0	25	9	7	0	1	23	0	9	11	61	5	0	0.00005
26	Cape Breton–Canso	0	187	99.99994	1	42	0	5	11	12	1	0	19	1	60	5	20	9	0	0.00006
27	Central Nova	0	296	99.99995	4	57	0	14	15	14	0	4	79	5	32	2	56	13	0	0.00005
28	Cumberland–Colchester	0	296	99.99994	0	52	1	13	19	16	0	2	53	3	27	4	89	16	0	0.00006
29	Dartmouth–Cole Harbour	0	272	99.99995	1	60	1	33	18	17	3	3	51	3	22	2	42	14	0	0.00005
30	Halifax	0	334	99.99995	7	65	0	82	19	11	3	0	60	1	35	0	37	14	0	0.00005
31	Halifax West	0	311	99.99993	4	83	1	29	23	16	0	5	52	1	22	4	48	23	0	0.00007
32	Kings–Hants	0	239	99.99999	3	57	0	14	25	17	1	1	39	1	19	2	48	12	0	0.00001
33	Sackville–Preston–Chezzetcook	0	254	99.99992	3	60	1	13	20	19	0	4	52	4	17	0	39	21	0	0.00008
34	South Shore–St. Margarets	0	277	99.99994	1	68	0	30	18	16	1	3	52	3	23	2	48	12	0	0.00006
35	Sydney–Victoria	0	172	99.99995	1	34	0	9	12	4	0	0	9	0	76	5	17	5	0	0.00005
36	West Nova	0	242	99.99995	0	49	1	15	21	10	0	1	49	0	21	0	54	21	0	0.00005
37	Acadie–Bathurst	0	41	99.99994	0	10	0	4	2	1	0	0	5	0	6	2	9	2	0	0.00006
38	Beauséjour	0	130	99.99996	3	45	0	14	7	11	0	1	12	1	15	0	16	5	0	0.00004
39	Fredericton	0	363	99.99995	3	67	1	45	38	25	0	6	68	7	34	6	55	8	0	0.00005
40	Fundy Royal	0	309	99.99994	0	56	0	17	26	12	0	3	49	5	16	3	95	26	0	0.00006
41	Madawaska–Restigouche	0	69	99.99997	0	19	3	2	5	7	0	0	15	0	2	0	16	0	0	0.00003
42	Miramichi–Grand Lake	0	143	99.99994	0	30	0	13	11	5	0	1	23	2	11	3	34	9	0	0.00006
43	Moncton–Riverview–Dieppe	0	292	99.99994	1	44	0	15	29	30	1	5	32	2	63	0	41	28	0	0.00006
44	New Brunswick Southwest	0	243	99.99999	2	39	1	15	23	27	0	2	29	1	19	0	73	10	0	0.00001
45	Saint John–Rothesay	0	225	99.99994	0	58	2	37	12	24	0	1	27	2	9	2	33	18	0	0.00006
46	Tobique–Mactaquac	0	315	99.99993	3	62	1	6	19	12	0	1	44	2	14	13	124	13	0	0.00007
47	Abitibi–Baie-James–Nunavik–Eeyou	0	27	99.99996	0	10	7	0	2	3	0	0	2	0	0	0	2	1	0	0.00004
48	Abitibi–Témiscamingue	0	79	99.99996	0	9	0	3	2	3	1	0	2	0	1	0	58	0	0	0.00004
49	Ahuntsic-Cartierville	0	81	99.99992	0	39	1	2	8	10	0	1	5	2	1	0	7	5	0	0.00008
50	Alfred-Pellan	0	44	99.99993	1	28	1	0	1	4	0	1	4	0	1	0	1	2	0	0.00007
51	Argenteuil–La Petite-Nation	0	102	99.99996	0	29	0	4	9	5	0	0	7	0	2	0	46	0	0	0.00004
52	Avignon–La Mitis–Matane–Matapédia	0	61	99.99997	0	13	8	0	2	1	0	0	1	0	0	0	36	0	0	0.00003
53	Beauce	0	1099	99.99995	3	522	49	1	2	0	0	1	7	0	0	0	512	1	0	0.00005
54	Beauport–Limoilou	0	99	99.99998	2	81	0	0	1	1	1	1	2	0	0	0	9	1	0	0.00002
55	Bécancour–Nicolet–Saurel	0	110	99.99997	3	18	7	0	1	1	0	0	4	1	0	0	75	0	0	0.00003
56	Bellechasse–Les Etchemins–Lévis	0	435	99.99995	0	48	159	1	1	3	0	1	5	0	0	1	215	1	0	0.00005
57	Beloeil–Chambly	0	64	99.99997	1	23	3	0	3	9	0	0	1	0	0	0	23	0	0	0.00003
58	Berthier–Maskinongé	0	146	99.99998	0	34	8	0	1	0	0	0	8	2	0	2	90	1	0	0.00002
59	Thérèse-De Blainville	0	57	99.99995	5	34	1	2	5	1	0	0	1	2	0	0	6	0	0	0.00005
60	Pierre-Boucher–Les Patriotes–Verchères	0	37	99.99997	0	16	2	2	4	0	0	0	3	0	0	0	10	0	0	0.00003
61	Bourassa	0	37	99.99998	0	27	0	0	2	2	0	0	4	0	0	0	1	1	0	0.00002
62	Brome–Missisquoi	0	120	99.99994	2	23	5	5	5	8	0	1	3	0	1	0	65	2	0	0.00006
63	Brossard–Saint-Lambert	0	162	99.99994	1	43	3	4	7	10	1	0	4	0	3	0	23	63	0	0.00006
64	Rimouski-Neigette–Témiscouata–Les Basques	0	83	99.99998	1	5	1	0	5	0	0	0	3	0	0	0	68	0	0	0.00002
65	Charlesbourg–Haute-Saint-Charles	0	117	99.99997	1	61	5	2	2	0	1	1	10	2	1	0	31	0	0	0.00003
66	Beauport–Côte-de-Beaupré–Île d'Orléans–Charlevoix	0	111	99.99996	2	53	5	0	1	4	0	0	11	2	0	0	33	0	0	0.00004
67	Châteauguay–Lacolle	0	66	99.99997	0	30	2	1	4	1	0	0	0	0	2	0	25	1	0	0.00003
68	Chicoutimi–Le Fjord	0	67	99.99994	1	16	4	0	0	5	0	0	5	1	0	2	31	2	0	0.00006
69	Compton–Stanstead	0	138	99.99996	1	36	5	3	3	5	0	0	6	0	1	2	74	2	0	0.00004
70	Dorval–Lachine–LaSalle	0	115	99.99995	0	47	2	1	7	5	0	1	5	2	4	0	7	34	0	0.00005
71	Drummond	0	108	99.99993	4	26	11	1	3	6	0	0	3	1	0	0	51	1	0	0.00007
72	Gaspésie–Les Îles-de-la-Madeleine	0	19	99.99997	0	11	0	0	6	0	0	0	1	0	0	0	1	0	0	0.00003
73	Gatineau	0	138	99.99994	1	85	4	4	7	18	0	1	10	1	1	0	3	3	0	0.00006
74	Hochelaga	0	49	99.99995	0	16	1	4	7	1	0	0	3	0	1	0	3	13	0	0.00005
